id_aluno,sexo,idade,tipo_de_cota,coeficiente,naturalidade_op,total_reprovacao_nota,total_reprovacao_falta,target_evasao
280,F,22,L6,7.5,0,0,0,0
281,M,24,AC,7.1,0,0,0,0
282,M,22,AC,7.2,0,0,0,0
283,M,26,AC,2.4,1,0,0,0
284,M,22,AC,4.1,0,0,0,0
285,M,22,AC,8.2,0,0,0,0
286,M,27,AC,3.6,0,0,0,1
287,M,22,L2,6.0,1,0,0,0
288,M,21,L1,7.5,0,0,0,0
289,M,25,L6,6.5,0,0,0,0
290,M,26,L2,5.3,0,0,0,0
291,M,21,L5,6.9,0,0,0,0
292,M,23,L2,5.1,0,0,0,0
293,M,22,AC,0.0,0,0,0,1
294,F,21,L5,7.0,0,0,0,0
295,M,22,L2,5.8,0,0,0,0
296,M,22,L1,4.3,0,0,0,0
297,M,26,L1,8.8,0,0,0,0
298,M,22,L1,8.9,0,0,0,1
299,M,23,L6,6.6,0,0,0,0
300,M,22,L6,3.0,0,0,0,1
301,M,21,L6,8.2,0,0,0,0
302,M,27,L6,6.6,0,0,0,0
303,F,22,AC,7.8,0,0,0,0
304,M,21,AC,8.5,0,0,0,0
305,M,23,AC,8.6,0,0,0,0
306,M,22,L5,7.9,0,0,0,0
307,M,22,AC,6.7,0,0,0,0
308,M,24,AC,5.9,0,0,0,0
309,M,22,AC,3.7,0,0,0,1
310,F,25,AC,8.2,0,0,0,1
311,M,24,AC,4.1,0,0,0,0
312,M,23,AC,8.3,0,0,0,0
313,M,22,AC,9.5,0,0,0,0
314,M,24,L5,8.6,0,0,0,0
315,F,21,AC,8.5,0,0,0,0
316,M,23,AC,8.8,0,0,0,0
317,M,22,AC,9.7,0,0,0,0
318,M,26,AC,8.5,0,0,0,0
319,F,23,AC,5.9,0,0,0,0
320,M,23,AC,5.3,0,0,0,0
321,F,24,AC,5.6,0,0,0,0
322,F,23,L1,5.0,0,0,0,0
323,M,25,L1,0.3,0,0,0,1
324,F,23,L1,1.9,0,0,0,0
325,M,31,L2,0.0,0,0,0,1
326,M,23,L1,5.5,0,0,0,0
327,M,23,L1,4.8,1,0,0,0
328,F,24,L1,5.1,0,0,0,0
329,M,23,L2,8.8,0,0,0,0
330,M,24,L6,6.2,0,0,0,0
331,M,24,L6,8.7,1,0,0,0
332,M,24,L5,0.0,0,0,0,1
333,M,27,AC,6.8,0,0,0,0
334,M,23,AC,4.9,0,0,0,0
335,M,23,AC,7.6,0,0,0,0
336,M,24,L5,6.8,0,0,0,0
337,F,29,L6,5.5,1,0,0,0
338,M,28,AC,3.6,0,0,0,0
